time_stamp;AmbientConditions.AmbientHumidity.U.Actual;AmbientConditions.AmbientTemperature.U.Actual;Machine1.RawMaterial.Property1;Machine1.RawMaterial.Property2;Machine1.RawMaterial.Property3;Machine1.RawMaterial.Property4;Machine1.RawMaterialFeederParameter.U.Actual;Machine1.Zone1Temperature.C.Actual;Machine1.Zone2Temperature.C.Actual;Machine1.MotorAmperage.U.Actual;Machine1.MotorRPM.C.Actual;Machine1.MaterialPressure.U.Actual;Machine1.MaterialTemperature.U.Actual;Machine1.ExitZoneTemperature.C.Actual;Machine2.RawMaterial.Property1;Machine2.RawMaterial.Property2;Machine2.RawMaterial.Property3;Machine2.RawMaterial.Property4;Machine2.RawMaterialFeederParameter.U.Actual;Machine2.Zone1Temperature.C.Actual;Machine2.Zone2Temperature.C.Actual;Machine2.MotorAmperage.U.Actual;Machine2.MotorRPM.C.Actual;Machine2.MaterialPressure.U.Actual;Machine2.MaterialTemperature.U.Actual;Machine2.ExitZoneTemperature.C.Actual;Machine3.RawMaterial.Property1;Machine3.RawMaterial.Property2;Machine3.RawMaterial.Property3;Machine3.RawMaterial.Property4;Machine3.RawMaterialFeederParameter.U.Actual;Machine3.Zone1Temperature.C.Actual;Machine3.Zone2Temperature.C.Actual;Machine3.MotorAmperage.U.Actual;Machine3.MotorRPM.C.Actual;Machine3.MaterialPressure.U.Actual;Machine3.MaterialTemperature.U.Actual;Machine3.ExitZoneTemperature.C.Actual;FirstStage.CombinerOperation.Temperature1.U.Actual;FirstStage.CombinerOperation.Temperature2.U.Actual;FirstStage.CombinerOperation.Temperature3.C.Actual;Stage1.Output.Measurement0.U.Actual
06/03/2019 10:52;1724;2353;1154;200;963;247;124126;72;723;4803;1048;43676;763;751;1259;236;60111;257;20075;6937;6906;7325;1389;24668;688;601;902;186;42116;200;20395;782;784;3374;135;26371;653;65;991;1082;80;1272
06/03/2019 10:52;1724;2353;1154;200;963;247;124609;72;723;4803;1048;43677;763;751;1259;236;60111;257;22016;6935;6905;7319;1389;24602;69;60;902;186;42116;200;21336;781;784;34185;1359;26288;653;65;991;1092;80;1234
06/03/2019 10:52;1724;2353;1154;200;963;247;124629;72;723;4816;1048;42546;763;751;1259;236;60111;257;21684;6937;6907;7319;1385;24718;689;60;902;186;42116;200;22525;781;785;33871;14;26263;653;65;996;111;80;1234
06/03/2019 10:52;1724;2353;1154;200;963;247;124759;72;723;4857;1048;43701;763;751;1259;236;60111;257;20861;6938;6908;7281;139;24992;691;599;902;186;42116;200;21399;781;785;33915;1367;26222;654;65;996;1092;80;1234
06/03/2019 10:52;1724;2353;1154;200;963;247;125283;721;724;4857;1048;42518;764;751;1259;236;60111;257;21231;694;6907;73;1389;25058;689;599;902;186;42116;200;20086;78;785;33705;1372;26217;654;65;996;1098;80;1229
06/03/2019 10:52;1724;2353;1154;200;963;247;126273;721;724;487;1048;43523;764;751;1259;236;60111;257;22417;6927;6906;7319;1387;24733;692;598;902;186;42116;200;20878;78;785;35049;1376;26139;654;65;996;1099;80;1229
06/03/2019 10:52;1724;2353;1154;200;963;247;130638;721;724;487;1045;43525;764;75;1259;236;60111;257;21046;6927;6906;7319;1387;24512;692;598;902;186;42116;200;2231;779;785;34576;1381;26103;654;65;996;1099;80;1254
06/03/2019 10:52;1724;2353;1154;200;963;247;129613;721;724;4978;1048;43968;764;75;1259;236;60111;257;21021;6925;6894;7319;1393;24885;69;598;902;186;42116;200;22017;779;785;35183;1349;26061;654;65;996;109;80;1254
06/03/2019 10:52;1724;2353;1154;200;963;247;125111;721;724;4937;1048;42266;765;75;1259;236;60111;257;20135;6925;6904;7306;1393;24963;691;599;902;186;42116;200;21096;779;785;33266;1359;26059;654;65;993;1099;80;1235
06/03/2019 10:52;1724;2353;1154;200;963;247;120216;721;724;4964;1052;43183;765;75;1259;236;60111;257;21153;6925;6904;7306;1392;24442;691;599;902;186;42116;200;22074;778;785;3395;136;26058;654;65;993;1099;80;1235
06/03/2019 10:52;1724;2353;1154;200;963;247;120257;721;724;4937;1048;4305;765;751;1259;236;60111;257;22595;6926;6906;73;1389;24233;691;599;902;186;42116;200;22218;778;785;35474;1399;25989;654;65;993;1101;80;121
06/03/2019 10:52;1724;2353;1154;200;963;247;124862;721;725;4951;1048;43753;765;751;1259;236;60111;257;22389;6918;6908;7325;1391;24747;692;60;902;186;42116;200;22385;778;785;34807;1354;26032;654;65;1001;1095;80;121
06/03/2019 10:52;1724;2353;1154;200;963;247;125253;721;725;4951;1048;43445;766;751;1259;236;60111;257;21514;6916;6906;7281;1386;24872;694;60;902;186;42116;200;21398;777;785;3465;136;25982;654;65;1001;1099;80;1234
06/03/2019 10:52;1724;2353;1154;200;963;247;124691;721;725;4991;1052;44215;766;751;1259;236;60111;257;2148;6916;6906;7281;1387;2432;694;60;902;186;42116;200;2174;777;785;33543;134;25922;654;65;1001;1099;80;1234
06/03/2019 10:52;1724;2353;1154;200;963;247;111922;721;725;4964;1048;43137;766;751;1259;236;60111;257;22429;6916;692;7306;1392;24173;692;601;902;186;42116;200;22423;777;785;34255;137;25908;655;65;1003;1097;80;1245
06/03/2019 10:52;1724;2353;1154;200;963;247;110332;721;725;5018;1052;42365;766;751;1259;236;60111;257;2189;6909;6925;7313;1392;24547;695;601;902;186;42116;200;22064;777;786;34095;1389;25893;655;65;1003;1134;80;1245
